N,L,u,v
85,65.9,0.259,0.508
1,65.9,0.261,0.511
2,65.9,0.263,0.515
3,65.9,0.267,0.518
4,65.9,0.265,0.522
5,65.9,0.264,0.523
6,65.9,0.262,0.526
7,65.9,0.259,0.528
8,65.9,0.258,0.53
9,65.9,0.256,0.533
10,65.9,0.253,0.535
11,65.9,0.246,0.534
12,65.9,0.243,0.535
13,65.9,0.24,0.536
14,65.9,0.235,0.538
15,65.9,0.227,0.538
16,65.9,0.225,0.535
17,65.9,0.215,0.538
18,65.9,0.21,0.536
19,65.9,0.21,0.533
20,65.9,0.207,0.532
21,65.9,0.204,0.53
22,69.8,0.203,0.53
23,69.8,0.198,0.528
24,69.8,0.194,0.526
25,69.8,0.191,0.525
26,69.8,0.189,0.524
27,69.8,0.187,0.523
28,69.8,0.184,0.523
29,69.8,0.181,0.522
30,69.8,0.178,0.52
31,69.8,0.176,0.52
32,69.8,0.174,0.518
33,69.8,0.172,0.516
34,69.8,0.17,0.516
35,69.8,0.166,0.513
36,69.8,0.165,0.511
37,69.8,0.163,0.509
38,69.8,0.162,0.508
39,69.8,0.161,0.507
40,69.8,0.156,0.504
41,69.8,0.156,0.501
42,69.8,0.155,0.499
43,68.2,0.154,0.497
44,68.2,0.152,0.496
45,68.2,0.151,0.494
46,68.2,0.15,0.492
47,68.2,0.15,0.49
48,68.2,0.151,0.484
49,68.2,0.151,0.479
50,68.2,0.146,0.475
51,68.2,0.147,0.469
52,68.2,0.149,0.463
53,68.2,0.15,0.458
54,68.2,0.152,0.453
55,68.2,0.154,0.448
56,68.2,0.156,0.445
57,68.2,0.16,0.438
58,68.2,0.164,0.432
59,68.2,0.165,0.43
60,68.2,0.159,0.428
61,68.2,0.168,0.428
62,68.2,0.17,0.426
63,68.2,0.172,0.425
64,64,0.177,0.425
65,64,0.181,0.424
66,64,0.185,0.423
67,64,0.188,0.421
68,64,0.193,0.424
69,64,0.199,0.427
70,64,0.201,0.427
71,64,0.206,0.432
72,64,0.211,0.436
73,64,0.218,0.439
74,64,0.221,0.447
75,64,0.224,0.451
76,64,0.23,0.457
77,64,0.233,0.462
78,64,0.237,0.468
79,64,0.241,0.473
80,64,0.242,0.479
81,64,0.249,0.485
82,64,0.253,0.49
83,64,0.254,0.494
84,64,0.252,0.503
