,Hex,Munsell Code
#C58382 ,C58382 , 5R 6/6
#C58178 ,C58178 , 7.5R 6/6
#C3826F ,C3826F , 10R 6/6
#C28466 ,C28466 , 2.5YR 6/6
#C08460 ,C08460 , 5YR 6/6
#BC895A ,BC895A , 7.5 YR 6/6
#B68B4D ,B68B4D , 10YR 6/6
#B28B4C ,B28B4C , 2.5Y 6/6
#A68E41 ,A68E41 , 5Y 6/6
#A39341 ,A39341 , 7.5Y 6/6
#9E9640 ,9E9640 , 10Y 6/6
#949845,949845, 2.5GY 6/6
#8C9B4D  ,8C9B4D  ,  5GY 6/6
#7D9D58 ,7D9D58 , 7.5GY 6/6
#75A266 ,75A266 , 10GY 6/6
#659F71 ,659F71 , 2.5G 6/6
#5DA074 ,5DA074 ,  5G 6/6
#559E80,559E80, 7.5G 6/6
#52A185,52A185, 10.5G 6/6
#56AC95 ,56AC95 , 2.5BG 6/6
#50AA9C ,50AA9C , 5BG 6/6
#4DAAA4 ,4DAAA4 , 7.5BG 6/6
#48A8A9 ,48A8A9 , 10BG 6/6
#48AAAF ,48AAAF , 2.5B 6/6
#56A7B5 ,56A7B5 , 5B 6/6
#62A8BC ,62A8BC , 7.5B 6/6
#689FB9 ,689FB9 , 10B 6/6
#719DBB ,719DBB , 2.5PB 6/6
#7D9EC0 ,7D9EC0 , 5PB 6/6
#8C9CC2 ,8C9CC2 , 7.5PB 6/6
#9697BC ,9697BC , 10PB 6/6
#A095BB ,A095BB , 2.5P 6/6
#A390B6 ,A390B6 , 5P 6/6
#AE91B3 ,AE91B3 , 7.5P 6/6
#B28FAB ,B28FAB , 10P 6/6
#B488A0 ,B488A0 , 2.5RP 6/6
#BB869B ,BB869B , 5RP 6/6
#BD8694 ,BD8694 , 7.5RP 6/6
#BA8288 ,BA8288 , 10RP 6/6
#C48488 ,C48488 , 2.5R 6/6
